0.4799998, 0, 0, 15.85059, 4.529256, 0, 476.2803, -1272.454, -5.798054, 0.01928791, 0.1567104, 27.89206, 2.92007, 2.680418, 106.8379
1.549999, -0.01555414, -0.03009293, 48.41104, 5.793913, 0.0956399083343331006365257997, 6711.612, -1279.599, -5.798054, 0.01928791, 0.1567104, 105.0002, 2.92007, 2.664191, 110.0146
 
1.559999, -0.01463312, -0.03024847, 48.75892, 5.806463, 0.0916379801216053988426022003, 6817.506, -1279.668, -5.798054, 0.01928791, 0.1567104, 105.8299, 2.92007, 2.664039, 110.0443
 
1.569999, -0.01368832, -0.0303948, 49.10783, 5.81924, 0.087660570211566427317550, 6924.486, -1279.737, -5.798054, 0.01928791, 0.1567104, 106.6617, 2.92007, 2.663888, 110.074
 
1.579999, -0.01272064, -0.03053169, 49.45736, 5.831803, 0.0837098609186518536338037997, 7032.568, -1279.806, -5.798054, 0.01928791, 0.1567104, 107.4956, 2.92007, 2.663736, 110.1037
 
1.589999, -0.01172921, -0.03065889, 49.80792, 5.844594, 0.0797838554251526333242077997, 7141.752, -1279.876, -5.798054, 0.01928791, 0.1567104, 108.3316, 2.92007, 2.663584, 110.1334
 
1.599999, -0.01071483, -0.03077619, 50.15931, 5.857391, 0.0758847906033655520656302003, 7252.046, -1279.945, -5.798054, 0.01928791, 0.1567104, 109.1698, 2.92007, 2.663432, 110.1631
 
1.609999, -0.009677787, -0.03088333, 50.51128, 5.869969, 0.0720133429707664229774777997, 7363.453, -1280.014, -5.798054, 0.01928791, 0.1567104, 110.0101, 2.92007, 2.663281, 110.1928
 
1.619999, -0.008617826, -0.03098011, 50.8643, 5.882779, 0.068169032418178563367386, 7475.986, -1280.083, -5.798054, 0.01928791, 0.1567104, 110.8526, 2.92007, 2.663129, 110.2225
 
1.629999, -0.007535799, -0.03106629, 51.21793, 5.89537, 0.0643538994096001740637897997, 7589.652, -1280.152, -5.798054, 0.01928791, 0.1567104, 111.6972, 2.92007, 2.662977, 110.2522
 
1.639999, -0.006431318, -0.03114165, 51.57306, 5.908642, 0.060567420189566179823098, 7704.453, -1280.222, -5.798054, 0.01928791, 0.1567104, 112.544, 2.92007, 2.662826, 110.2818
 
1.649999, -0.005305157, -0.03120596, 51.92809, 5.92102, 0.056810391302846046138130, 7820.392, -1280.291, -5.798054, 0.01928791, 0.1567104, 113.3929, 2.92007, 2.662674, 110.3115
 
1.659999, -0.004157287, -0.03125902, 52.28464, 5.934079, 0.053083685675214061861004, 7937.484, -1280.361, -5.798054, 0.01928791, 0.1567104, 114.244, 2.92007, 2.662523, 110.3412
 
1.669999, -0.00298831, -0.03130059, 52.64178, 5.946922, 0.049387990735717565391394, 8055.73, -1280.43, -5.798054, 0.01928791, 0.1567104, 115.0973, 2.92007, 2.662371, 110.3709
 
1.679999, -0.001798599, -0.03133047, 52.99952, 5.959541, 0.045724124852270054824150, 8175.141, -1280.499, -5.798054, 0.01928791, 0.1567104, 115.9527, 2.92007, 2.662219, 110.4006
 
